N Insercio Bombolla Fusio
10000 0.20 0.61 0.00
10100 0.19 0.63 0.01
10200 0.21 0.64 0.00
10300 0.20 0.64 0.00
10400 0.21 0.67 0.01
10500 0.22 0.68 0.01
10600 0.22 0.69 0.01
10700 0.23 0.68 0.00
10800 0.23 0.69 0.00
10900 0.23 0.70 0.00
11000 0.23 0.72 0.01
11100 0.23 0.74 0.01
11200 0.24 0.75 0.00
11300 0.24 0.75 0.01
11400 0.25 0.77 0.01
11500 0.25 0.78 0.01
11600 0.26 0.79 0.01
11700 0.26 0.85 0.01
11800 0.26 0.83 0.01
11900 0.27 0.83 0.01
12000 0.27 0.85 0.01
12100 0.28 0.88 0.01
12200 0.27 0.88 0.01
12300 0.29 0.90 0.01
12400 0.29 0.91 0.01
12500 0.29 0.93 0.01
12600 0.30 0.97 0.01
12700 0.32 0.96 0.01
12800 0.31 0.98 0.01
12900 0.31 1.00 0.01
13000 0.32 1.04 0.01
13100 0.34 1.04 0.01
13200 0.33 1.08 0.01
13300 0.35 1.06 0.01
13400 0.34 1.11 0.01
13500 0.35 1.17 0.01
13600 0.38 1.14 0.01
13700 0.35 1.11 0.01
13800 0.37 1.19 0.01
13900 0.38 1.19 0.01
14000 0.37 1.19 0.01
14100 0.37 1.19 0.01
14200 0.37 1.21 0.01
14300 0.39 1.22 0.01
14400 0.39 1.25 0.01
14500 0.39 1.25 0.01
14600 0.40 1.28 0.01
14700 0.41 1.30 0.01
14800 0.41 1.33 0.01
14900 0.44 1.36 0.01
15000 0.44 1.35 0.01
15100 0.43 1.40 0.01
15200 0.45 1.40 0.01
15300 0.46 1.45 0.01
15400 0.45 1.44 0.01
15500 0.48 1.47 0.01
15600 0.46 1.45 0.01
15700 0.47 1.47 0.01
15800 0.47 1.49 0.01
15900 0.48 1.51 0.01
16000 0.49 1.53 0.01
16100 0.48 1.53 0.01
16200 0.50 1.57 0.01
16300 0.50 1.59 0.01
16400 0.51 1.62 0.01
16500 0.51 1.62 0.01
16600 0.51 1.65 0.01
16700 0.52 1.68 0.01
16800 0.53 1.69 0.01
16900 0.54 1.72 0.01
17000 0.54 1.73 0.01
17100 0.55 1.75 0.01
17200 0.55 1.79 0.01
17300 0.56 1.82 0.01
17400 0.57 1.81 0.01
17500 0.57 1.85 0.01
17600 0.58 1.87 0.01
17700 0.59 1.87 0.01
17800 0.60 1.89 0.01
17900 0.62 1.93 0.01
18000 0.62 1.96 0.01
18100 0.62 1.96 0.01
18200 0.63 1.97 0.01
18300 0.63 1.99 0.01
18400 0.64 2.02 0.01
18500 0.65 2.04 0.01
18600 0.65 2.06 0.01
18700 0.66 2.10 0.02
18800 0.67 2.12 0.01
18900 0.67 2.18 0.01
19000 0.68 2.18 0.01
19100 0.69 2.22 0.01
19200 0.70 2.20 0.01
19300 0.71 2.23 0.01
19400 0.71 2.27 0.01
19500 0.72 2.28 0.01
19600 0.72 2.31 0.01
19700 0.72 2.32 0.01
19800 0.74 2.36 0.01
19900 0.75 2.39 0.01
