N Insercio Bombolla Fusio
1000 0.00 0.01 0.00
2000 0.02 0.03 0.00
3000 0.02 0.05 0.00
4000 0.03 0.10 0.00
8000 0.13 0.40 0.01
10000 0.20 0.62 0.01
16000 0.51 1.64 0.01
20000 0.82 2.57 0.02
40000 3.15 10.13 0.03
50000 4.92 16.14 0.04
100000 19.51 65.46 0.09
150000 44.04 143.30 0.13
1000 0.00 0.01 0.00
2000 0.01 0.03 0.00
3000 0.02 0.05 0.00
4000 0.03 0.10 0.00
8000 0.13 0.40 0.01
10000 0.20 0.62 0.01
16000 0.52 1.64 0.01
20000 0.80 2.59 0.02
40000 3.19 10.26 0.03
50000 4.92 16.36 0.04
100000 20.18 64.70 0.08
150000 44.47 147.28 0.13
