N InsercioWorst BombollaWorst FusioWorst InsercioBest BombollaBest FusioBest

10000 0.38 0.64 0.01 0.00 0.00 0.01
11111 0.49 0.79 0.01 0.00 0.00 0.01
10400 0.44 0.70 0.01 0.00 0.00 0.01
10500 0.45 0.71 0.01 0.00 0.00 0.01
11000 0.49 0.77 0.01 0.00 0.00 0.01
12000 0.57 0.91 0.01 0.00 0.00 0.01
15000 0.87 1.42 0.01 0.01 0.01 0.02
18000 1.22 2.01 0.01 0.01 0.01 0.02
20000 1.49 2.54 0.01 0.01 0.01 0.01
22222 1.83 3.05 0.01 0.01 0.01 0.02
25000 2.32 3.98 0.02 0.01 0.01 0.02
30000 3.37 5.66 0.02 0.01 0.01 0.02
33333 4.15 7.00 0.03 0.01 0.01 0.03
34000 4.26 7.28 0.04 0.02 0.02 0.03
35000 4.51 7.61 0.04 0.02 0.02 0.04
36000 4.77 8.06 0.04 0.02 0.02 0.04
36500 4.85 8.25 0.03 0.02 0.02 0.04
38000 5.25 8.94 0.04 0.02 0.02 0.04
52000 9.78 16.69 0.06 0.02 0.02 0.04
37000 4.98 8.45 0.05 0.02 0.02 0.04
40000 5.81 9.91 0.03 0.01 0.01 0.03
85000 26.35 44.96 0.09 0.04 0.04 0.08
75000 20.30 34.74 0.05 0.04 0.03 0.07
44444 7.15 12.26 0.05 0.02 0.02 0.04
41000 6.11 10.42 0.05 0.02 0.02 0.04
48000 8.36 14.27 0.06 0.03 0.02 0.05
45000 7.35 12.54 0.04 0.03 0.02 0.05
50000 9.05 15.55 0.06 0.02 0.02 0.04
