N Insercio Bombolla Fusio
10000 0.20 0.63 0.01
11111 0.24 0.76 0.0
10600 0.25 0.68 0.01
11200 0.28 0.74 0.02
11800 0.31 0.83 0.01
12400 0.34 0.90 0.01
13000 0.36 1.00 0.02
13600 0.39 1.09 0.01
14200 0.42 1.24 0.02
14800 0.45 1.28 0.02
15400 0.49 1.43 0.02
16000 0.52 1.53 0.01
16600 0.55 1.67 0.01
17200 0.59 1.75 0.03
17800 0.62 1.87 0.02
18400 0.66 2.05 0.02
19000 0.71 2.16 0.02
19600 0.75 2.30 0.03
20200 0.79 2.42 0.02
20800 0.84 2.58 0.02
21400 0.89 2.70 0.03
22000 0.92 2.90 0.02
22600 0.99 3.04 0.02
23200 1.01 3.15 0.03
23800 1.07 3.36 0.03
24400 1.13 3.52 0.03
25000 1.18 3.70 0.02
25600 1.25 3.88 0.02
26200 1.29 4.08 0.04
26800 1.34 4.29 0.03
27400 1.41 4.41 0.02
28000 1.47 4.69 0.03
28600 1.52 4.87 0.04
29200 1.60 5.04 0.03
29800 1.65 5.28 0.04
30400 1.71 5.48 0.04
31000 1.79 5.73 0.04
31600 1.85 5.91 1.13
32200 1.93 6.15 0.04
32800 2.04 6.38 0.05
33400 2.06 6.60 0.04
34000 2.12 6.79 0.04
34600 2.20 7.09 0.03
35200 2.30 7.35 0.05
35800 2.36 7.62 0.03
36400 2.43 7.85 0.03
37000 2.51 8.12 0.03
37600 2.61 8.41 0.04
38200 2.68 8.65 0.06
38800 2.75 8.90 0.05
39400 2.84 9.27 0.06
40000 2.94 9.46 0.05
40600 3.02 9.75 0.03
41200 3.12 10.02 0.05
41800 3.21 10.33 0.05
42400 3.27 10.59 0.06
43000 3.39 10.93 0.03
43600 3.49 11.27 0.05
44200 3.57 11.58 0.06
44800 3.67 11.86 0.05
45400 3.78 12.18 0.05
46000 3.88 12.53 0.05
46600 3.96 12.82 0.06
47200 4.05 13.16 0.04
47800 4.18 13.54 0.05
48400 4.30 13.90 0.06
49000 4.40 14.21 0.05
49600 4.48 14.58 0.07
50200 4.60 14.97 0.07
50800 4.77 15.31 0.05
51400 4.81 15.61 0.06
52000 4.91 15.98 0.06
52600 5.03 16.37 0.05
53200 5.14 16.83 0.07
53800 5.27 17.19 0.06
54400 5.36 17.44 0.07
55000 5.52 17.99 0.08
55600 5.62 18.34 0.06
56200 5.77 18.76 0.08
56800 5.87 19.32 0.04
57400 5.98 19.46 0.07
58000 6.12 19.91 0.06
58600 6.27 20.35 0.07
59200 6.36 20.71 0.05
59800 6.50 21.22 0.07
60400 6.62 21.62 0.08
61000 6.76 22.07 0.05
61600 6.86 22.44 0.08
62200 7.00 22.83 0.07
62800 7.17 23.26 0.07
63400 7.29 23.74 0.07
64000 7.45 24.22 0.07
64600 7.60 24.65 0.07
65200 7.69 25.43 0.05
65800 7.87 25.53 0.06
66400 7.98 26.05 0.05
67000 8.19 26.63 0.07
67600 8.26 27.01 0.05
68200 8.44 27.62 0.08
68800 8.58 28.02 0.07
69400 8.71 28.47 0.07
70000 8.90 29.02 0.09
70600 9.03 29.49 0.08
71200 9.22 30.03 0.06
71800 9.34 30.45 0.08
72400 9.46 30.98 0.08
73000 9.62 31.60 0.07
73600 9.76 32.04 0.09
74200 9.96 32.55 0.10
74800 10.09 33.19 0.09
75400 10.27 33.54 0.08
76000 10.44 34.19 0.10
76600 10.63 34.57 0.09
77200 10.73 35.22 0.06
77800 11.01 35.70 0.09
78400 11.14 36.28 0.10
79000 11.25 36.79 0.06
79600 11.43 37.33 0.06
80200 11.60 37.97 0.06
80800 11.72 38.62 0.10
81400 11.90 39.07 0.09
82000 12.14 39.65 0.09
82600 12.30 40.33 0.06
83200 12.46 40.89 0.07
83800 12.70 41.62 0.11
84400 12.87 42.26 0.07
85000 13.00 42.68 0.10
85600 13.28 43.39 0.07
86200 13.38 43.88 0.07
86800 13.59 44.58 0.10
87400 13.79 45.41 0.11
88000 14.04 45.96 0.11
88600 14.20 46.60 0.07
89200 14.32 47.06 0.07
89800 14.69 47.75 0.11
90400 14.75 48.19 0.09
91000 14.97 49.10 0.10
91600 15.22 49.42 0.07
92200 15.34 50.14 0.11
92800 15.58 50.86 0.10
93400 15.74 51.53 0.10
94000 16.10 52.23 0.10
94600 16.16 52.99 0.07
95200 16.26 53.49 0.07
95800 16.57 54.18 0.10
96400 16.85 54.79 0.11
97000 16.98 55.62 0.08
97600 17.16 56.32 0.08
98200 17.39 56.99 0.12
98800 17.54 57.56 0.12
99400 17.87 58.52 0.10
100000 18.02 58.90 0.10
100600 18.25 59.80 0.10
120600 26.20 85.84 0.10
140600 35.56 116.57 0.11
160600 46.71 152.54 0.17
180600 58.64 192.77 0.20
200600 72.30 237.64 0.43
220600 87.38 249.67 0.43
